provinsi,ump_2022,ump_2023,rp_kenaikan,%_kenaikan
Nanggroe Aceh Darussalam,3166460,3413666,247206,0.07807014773595755
Sumatera Utara,2522609,2710493,187884,0.07448003237917566
Sumatera Barat,2512539,2742476,229937,0.09151579338668969
Riau,2938564,3191662,253098,0.0861298239548296
Jambi,2649034,2943000,293966,0.11097101811452781
Sumatera Selatan,3144446,3404177,259731,0.08259992380215775
Bengkulu,2238094,2418280,180186,0.08050868283459045
Lampung,2440486,2633284,192798,0.07899983855674653
Bangka Belitung,3264884,3498479,233595,0.07154771808125493
Kepulauan Riau,3050172,3279194,229022,0.07508494602927307
DKI Jakarta,4641854,4901798,259944,0.05600003791588448
Banten,2501203,2661280,160077,0.06400000319846089
Jawa Barat,1841487,1986670,145183,0.07884008955805832
Jawa Tengah,1812935,1958169,145234,0.08010987707777728
DI Yogyakarta,1840915,1981782,140867,0.07652010005893817
Jawa Timur,1891567,2040244,148677,0.07859991213633988
Bali,2516971,2713672,196701,0.0781498873050186
Nusa Tenggara Barat,2207212,2371407,164195,0.07439022622203928
Nusa Tenggara Timur,1975000,2123994,148994,0.07543999999999995
Kalimantan Barat,2434328,2608601,174273,0.07158977754846507
Kalimantan Tengah,2922516,3181013,258497,0.08845015733019079
Kalimantan Selatan,2906473,3149977,243504,0.08377989405028008
Kalimantan Timur,3014497,3201396,186899,0.06200006170183614
Kalimantan Utara,3016738,3251702,234964,0.07788677704195734
Sulawesi Utara,3310723,3485000,174277,0.05264016349298939
Sulawesi Tengah,2390739,2599546,208807,0.08733993965882525
Sulawesi Selatan,3165876,3385145,219269,0.06926013526745844
Sulawesi Tenggara,2576016,2758948,182932,0.07101353407742805
Gorontalo,2800580,2989350,188770,0.06740389490748355
Sulawesi Barat,2678863,2871794,192931,0.07201973374524928
Maluku,2619312,2812827,193515,0.07388008759552123
Maluku Utara,2862231,2976720,114489,0.03999991614932541
Papua Barat,3200000,3282000,82000,0.02562500000000001
Papua,3561932,3864696,302764,0.08499993823576646
